DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME,DIM_SEX,DIM_AGE,DIM_VALUE_TYPE,VALUE_NUMERIC,VALUE_COMMENTS,DIM_PUBLISH_STATE_CODE
1,World,2017,Female,10 to 14 years,RATE_PER_1000,1.68,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
1,World,2018,Female,10 to 14 years,RATE_PER_1000,1.65,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
1,World,2019,Female,10 to 14 years,RATE_PER_1000,1.61,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
1,World,2020,Female,10 to 14 years,RATE_PER_1000,1.58,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
1,World,2022,Female,10 to 14 years,RATE_PER_1000,1.54,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
1,World,2021,Female,10 to 14 years,RATE_PER_1000,1.56,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
4,Afghanistan,2003,Female,10 to 14 years,RATE_PER_1000,08.07,Afghanistan 2010 Mortality Survey,PUBLISHED
4,Afghanistan,2006,Female,10 to 14 years,RATE_PER_1000,4.26,Afghanistan 2010 Mortality Survey,PUBLISHED
4,Afghanistan,2008,Female,10 to 14 years,RATE_PER_1000,1.36,Afghanistan 2010 Mortality Survey,PUBLISHED
4,Afghanistan,2009,Female,10 to 14 years,RATE_PER_1000,0.76,Afghanistan 2010 Mortality Survey,PUBLISHED
4,Afghanistan,2011,Female,10 to 14 years,RATE_PER_1000,2.21,Afghanistan 2015 Demographic and Health Survey,PUBLISHED
4,Afghanistan,2013,Female,10 to 14 years,RATE_PER_1000,0.92,Afghanistan 2015 Demographic and Health Survey,PUBLISHED
4,Afghanistan,2014,Female,10 to 14 years,RATE_PER_1000,0.22,Afghanistan 2015 Demographic and Health Survey,PUBLISHED
8,Albania,2017,Female,10 to 14 years,RATE_PER_1000,0.21,Registration Eurostat,PUBLISHED
8,Albania,2019,Female,10 to 14 years,RATE_PER_1000,0.29,Registration National Statistics & WPP2022,PUBLISHED
8,Albania,2018,Female,10 to 14 years,RATE_PER_1000,0.26,Registration Eurostat,PUBLISHED
8,Albania,2009,Female,10 to 14 years,RATE_PER_1000,0,Registration National Statistics & WPP2022,PUBLISHED
8,Albania,2010,Female,10 to 14 years,RATE_PER_1000,0,Registration National Statistics & WPP2022,PUBLISHED
8,Albania,2008,Female,10 to 14 years,RATE_PER_1000,0,Registration National Statistics & WPP2022,PUBLISHED
8,Albania,2004,Female,10 to 14 years,RATE_PER_1000,0,Registration National Statistics & WPP2022,PUBLISHED
8,Albania,2005,Female,10 to 14 years,RATE_PER_1000,0,Registration National Statistics & WPP2022,PUBLISHED
8,Albania,2003,Female,10 to 14 years,RATE_PER_1000,0,Registration National Statistics & WPP2022,PUBLISHED
8,Albania,2001,Female,10 to 14 years,RATE_PER_1000,0,Registration National Statistics & WPP2022,PUBLISHED
8,Albania,2000,Female,10 to 14 years,RATE_PER_1000,0,Registration National Statistics & WPP2022,PUBLISHED
8,Albania,2002,Female,10 to 14 years,RATE_PER_1000,0,Registration National Statistics & WPP2022,PUBLISHED
8,Albania,2007,Female,10 to 14 years,RATE_PER_1000,0,Registration National Statistics & WPP2022,PUBLISHED
8,Albania,2006,Female,10 to 14 years,RATE_PER_1000,0,Registration National Statistics & WPP2022,PUBLISHED
9,Oceania,2002,Female,10 to 14 years,RATE_PER_1000,1.6,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
9,Oceania,2000,Female,10 to 14 years,RATE_PER_1000,1.55,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
9,Oceania,2001,Female,10 to 14 years,RATE_PER_1000,1.61,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
9,Oceania,2003,Female,10 to 14 years,RATE_PER_1000,1.59,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
9,Oceania,2005,Female,10 to 14 years,RATE_PER_1000,1.5,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
9,Oceania,2004,Female,10 to 14 years,RATE_PER_1000,1.55,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
9,Oceania,2006,Female,10 to 14 years,RATE_PER_1000,1.48,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
9,Oceania,2007,Female,10 to 14 years,RATE_PER_1000,1.46,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
9,Oceania,2008,Female,10 to 14 years,RATE_PER_1000,1.4,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
9,Oceania,2010,Female,10 to 14 years,RATE_PER_1000,1.37,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
9,Oceania,2009,Female,10 to 14 years,RATE_PER_1000,1.34,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
9,Oceania,2012,Female,10 to 14 years,RATE_PER_1000,1.3,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
9,Oceania,2011,Female,10 to 14 years,RATE_PER_1000,1.33,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
9,Oceania,2013,Female,10 to 14 years,RATE_PER_1000,1.27,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
9,Oceania,2015,Female,10 to 14 years,RATE_PER_1000,1.1,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
9,Oceania,2014,Female,10 to 14 years,RATE_PER_1000,1.18,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
9,Oceania,2020,Female,10 to 14 years,RATE_PER_1000,0.94,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
9,Oceania,2019,Female,10 to 14 years,RATE_PER_1000,0.95,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
9,Oceania,2018,Female,10 to 14 years,RATE_PER_1000,0.98,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
9,Oceania,2016,Female,10 to 14 years,RATE_PER_1000,01.02,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
9,Oceania,2017,Female,10 to 14 years,RATE_PER_1000,0.99,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
9,Oceania,2023,Female,10 to 14 years,RATE_PER_1000,0.91,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
9,Oceania,2021,Female,10 to 14 years,RATE_PER_1000,0.93,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
9,Oceania,2022,Female,10 to 14 years,RATE_PER_1000,0.94,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
12,Algeria,2016,Female,10 to 14 years,RATE_PER_1000,0.02,Algeria 2018-2019 Multiple Indicator Cluster Survey,PUBLISHED
12,Algeria,2017,Female,10 to 14 years,RATE_PER_1000,0,Algeria 2018-2019 Multiple Indicator Cluster Survey,PUBLISHED
12,Algeria,2014,Female,10 to 14 years,RATE_PER_1000,0.12,Algeria 2018-2019 Multiple Indicator Cluster Survey,PUBLISHED
12,Algeria,2011,Female,10 to 14 years,RATE_PER_1000,0.02,Algeria 2018-2019 Multiple Indicator Cluster Survey,PUBLISHED
12,Algeria,2010,Female,10 to 14 years,RATE_PER_1000,0.03,Algeria 2012-2013 Multiple Indicator Cluster Survey,PUBLISHED
15,Northern Africa,2008,Female,10 to 14 years,RATE_PER_1000,1.82,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
15,Northern Africa,2006,Female,10 to 14 years,RATE_PER_1000,1.75,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
15,Northern Africa,2007,Female,10 to 14 years,RATE_PER_1000,1.86,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
15,Northern Africa,2010,Female,10 to 14 years,RATE_PER_1000,1.8,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
15,Northern Africa,2009,Female,10 to 14 years,RATE_PER_1000,1.8,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
15,Northern Africa,2005,Female,10 to 14 years,RATE_PER_1000,1.65,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
15,Northern Africa,2003,Female,10 to 14 years,RATE_PER_1000,1.91,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
15,Northern Africa,2004,Female,10 to 14 years,RATE_PER_1000,1.78,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
15,Northern Africa,2001,Female,10 to 14 years,RATE_PER_1000,1.96,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
15,Northern Africa,2000,Female,10 to 14 years,RATE_PER_1000,1.95,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
15,Northern Africa,2002,Female,10 to 14 years,RATE_PER_1000,1.92,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
15,Northern Africa,2011,Female,10 to 14 years,RATE_PER_1000,1.69,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
15,Northern Africa,2012,Female,10 to 14 years,RATE_PER_1000,1.61,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
15,Northern Africa,2013,Female,10 to 14 years,RATE_PER_1000,1.6,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
15,Northern Africa,2014,Female,10 to 14 years,RATE_PER_1000,1.57,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
15,Northern Africa,2015,Female,10 to 14 years,RATE_PER_1000,1.51,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
15,Northern Africa,2016,Female,10 to 14 years,RATE_PER_1000,1.39,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
15,Northern Africa,2018,Female,10 to 14 years,RATE_PER_1000,1.2,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
15,Northern Africa,2017,Female,10 to 14 years,RATE_PER_1000,1.3,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
15,Northern Africa,2019,Female,10 to 14 years,RATE_PER_1000,1.12,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
15,Northern Africa,2020,Female,10 to 14 years,RATE_PER_1000,01.08,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
15,Northern Africa,2023,Female,10 to 14 years,RATE_PER_1000,1,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
15,Northern Africa,2021,Female,10 to 14 years,RATE_PER_1000,01.05,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
15,Northern Africa,2022,Female,10 to 14 years,RATE_PER_1000,01.05,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
16,American Samoa,2019,Female,10 to 14 years,RATE_PER_1000,0.61,Registration National Statistics & WPP2022,PUBLISHED
16,American Samoa,2017,Female,10 to 14 years,RATE_PER_1000,0.14,Registration National Statistics & WPP2022,PUBLISHED
16,American Samoa,2018,Female,10 to 14 years,RATE_PER_1000,0.3,Registration National Statistics & WPP2022,PUBLISHED
16,American Samoa,2014,Female,10 to 14 years,RATE_PER_1000,0.26,Registration National Statistics & WPP2022,PUBLISHED
16,American Samoa,2002,Female,10 to 14 years,RATE_PER_1000,0.59,Registration National Statistics & WPP2022,PUBLISHED
16,American Samoa,2000,Female,10 to 14 years,RATE_PER_1000,0.63,Registration National Statistics & WPP2022,PUBLISHED
16,American Samoa,2001,Female,10 to 14 years,RATE_PER_1000,0.71,Registration National Statistics & WPP2022,PUBLISHED
16,American Samoa,2003,Female,10 to 14 years,RATE_PER_1000,0.66,Registration National Statistics & WPP2022,PUBLISHED
16,American Samoa,2005,Female,10 to 14 years,RATE_PER_1000,0.28,Registration National Statistics & WPP2022,PUBLISHED
16,American Samoa,2004,Female,10 to 14 years,RATE_PER_1000,0.37,Registration National Statistics & WPP2022,PUBLISHED
16,American Samoa,2009,Female,10 to 14 years,RATE_PER_1000,0.32,Registration National Statistics & WPP2022,PUBLISHED
16,American Samoa,2010,Female,10 to 14 years,RATE_PER_1000,0.33,Registration National Statistics & WPP2022,PUBLISHED
16,American Samoa,2007,Female,10 to 14 years,RATE_PER_1000,0.19,Registration National Statistics & WPP2022,PUBLISHED
20,Andorra,2007,Female,10 to 14 years,RATE_PER_1000,0,Registration Eurostat,PUBLISHED
20,Andorra,2005,Female,10 to 14 years,RATE_PER_1000,0,Registration National Statistics & WPP2022,PUBLISHED
20,Andorra,2001,Female,10 to 14 years,RATE_PER_1000,0,Registration National Statistics & WPP2022,PUBLISHED
20,Andorra,2000,Female,10 to 14 years,RATE_PER_1000,0,Registration National Statistics & WPP2022,PUBLISHED
20,Andorra,2013,Female,10 to 14 years,RATE_PER_1000,0,Registration National Statistics & WPP2022,PUBLISHED
20,Andorra,2018,Female,10 to 14 years,RATE_PER_1000,0,Registration National Statistics & WPP2022,PUBLISHED
20,Andorra,2015,Female,10 to 14 years,RATE_PER_1000,0,Registration National Statistics & WPP2022,PUBLISHED
20,Andorra,2019,Female,10 to 14 years,RATE_PER_1000,0,Registration National Statistics & WPP2022,PUBLISHED
21,Northern America,2020,Female,10 to 14 years,RATE_PER_1000,0.1,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
21,Northern America,2021,Female,10 to 14 years,RATE_PER_1000,0.12,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
21,Northern America,2019,Female,10 to 14 years,RATE_PER_1000,0.1,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
21,Northern America,2016,Female,10 to 14 years,RATE_PER_1000,0.2,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
21,Northern America,2017,Female,10 to 14 years,RATE_PER_1000,0.15,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
21,Northern America,2018,Female,10 to 14 years,RATE_PER_1000,0.12,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
21,Northern America,2015,Female,10 to 14 years,RATE_PER_1000,0.27,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
21,Northern America,2014,Female,10 to 14 years,RATE_PER_1000,0.34,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
21,Northern America,2013,Female,10 to 14 years,RATE_PER_1000,0.39,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
21,Northern America,2011,Female,10 to 14 years,RATE_PER_1000,0.58,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
21,Northern America,2012,Female,10 to 14 years,RATE_PER_1000,0.53,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
21,Northern America,2000,Female,10 to 14 years,RATE_PER_1000,1.22,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
21,Northern America,2001,Female,10 to 14 years,RATE_PER_1000,1.12,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
21,Northern America,2002,Female,10 to 14 years,RATE_PER_1000,01.04,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
21,Northern America,2003,Female,10 to 14 years,RATE_PER_1000,0.97,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
21,Northern America,2004,Female,10 to 14 years,RATE_PER_1000,0.96,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
21,Northern America,2005,Female,10 to 14 years,RATE_PER_1000,0.93,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
21,Northern America,2008,Female,10 to 14 years,RATE_PER_1000,0.93,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
21,Northern America,2007,Female,10 to 14 years,RATE_PER_1000,0.96,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
21,Northern America,2006,Female,10 to 14 years,RATE_PER_1000,0.93,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
21,Northern America,2010,Female,10 to 14 years,RATE_PER_1000,0.72,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
21,Northern America,2009,Female,10 to 14 years,RATE_PER_1000,0.85,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
21,Northern America,2023,Female,10 to 14 years,RATE_PER_1000,0.1,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
21,Northern America,2022,Female,10 to 14 years,RATE_PER_1000,0.11,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
24,Angola,2009,Female,10 to 14 years,RATE_PER_1000,6.1,Angola 2011 Malaria Indicators Survey,PUBLISHED
24,Angola,2008,Female,10 to 14 years,RATE_PER_1000,9.36,Angola 2011 Malaria Indicators Survey,PUBLISHED
24,Angola,2005,Female,10 to 14 years,RATE_PER_1000,6.91,Angola 2006-2007 Malaria Indicators Survey,PUBLISHED
24,Angola,2004,Female,10 to 14 years,RATE_PER_1000,6.62,Angola 2006-2007 Malaria Indicators Survey,PUBLISHED
24,Angola,2003,Female,10 to 14 years,RATE_PER_1000,12.03,Angola 2011 Malaria Indicators Survey,PUBLISHED
24,Angola,2011,Female,10 to 14 years,RATE_PER_1000,10.32,Angola 2015-2016 Demographic and Health Survey,PUBLISHED
24,Angola,2013,Female,10 to 14 years,RATE_PER_1000,10.64,Angola 2015-2016 Demographic and Health Survey,PUBLISHED
24,Angola,2014,Female,10 to 14 years,RATE_PER_1000,10.66,Angola 2015-2016 Demographic and Health Survey,PUBLISHED
28,Antigua and Barbuda,2018,Female,10 to 14 years,RATE_PER_1000,0.32,Registration National Statistics & WPP2022,PUBLISHED
28,Antigua and Barbuda,2017,Female,10 to 14 years,RATE_PER_1000,0,Registration National Statistics & WPP2022,PUBLISHED
28,Antigua and Barbuda,2016,Female,10 to 14 years,RATE_PER_1000,0.63,Registration National Statistics & WPP2022,PUBLISHED
28,Antigua and Barbuda,2019,Female,10 to 14 years,RATE_PER_1000,0,Registration National Statistics & WPP2022,PUBLISHED
28,Antigua and Barbuda,2000,Female,10 to 14 years,RATE_PER_1000,0,Registration National Statistics & WPP2022,PUBLISHED
28,Antigua and Barbuda,2020,Female,10 to 14 years,RATE_PER_1000,0.31,Registration National Statistics & WPP2022,PUBLISHED
28,Antigua and Barbuda,2010,Female,10 to 14 years,RATE_PER_1000,0.55,Antigua and Barbuda 2011 Census,PUBLISHED
30,Eastern Asia,2010,Female,10 to 14 years,RATE_PER_1000,0.11,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
30,Eastern Asia,2009,Female,10 to 14 years,RATE_PER_1000,0.11,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
30,Eastern Asia,2008,Female,10 to 14 years,RATE_PER_1000,0.11,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
30,Eastern Asia,2006,Female,10 to 14 years,RATE_PER_1000,0.11,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
30,Eastern Asia,2007,Female,10 to 14 years,RATE_PER_1000,0.11,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
30,Eastern Asia,2000,Female,10 to 14 years,RATE_PER_1000,0.11,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
